SourceID,SMILES,PIC50,USED_AS
CHEMBL428777,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,4.85,Dev-set
CHEMBL258313,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)CCO,4.92,Dev-set
CHEMBL403774,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N5CCOCC5,5,Dev-set
CHEMBL402011,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N(C)C,4.6,Dev-set
CHEMBL379816,C[C@@H](O[C@H]1CCNC(=O)C[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,5,Dev-set
CHEMBL382255,C[C@@H](O[C@H]1CCN(C)C(=O)C[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,5,Dev-set
CHEMBL204573,C[C@@H](OC1CCC2NC1(CC2c3nnnn3C)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,5.6,Dev-set
CHEMBL380388,C[C@@H](O[C@H]1CCn2ccnc2C[C@@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,5.9,Dev-set
CHEMBL1085397,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(Cl)n(C)nc4c5ccccc5,5.22,Dev-set
CHEMBL1084314,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c[nH]nc4C,4.75,Dev-set
CHEMBL1085560,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc(C#N)c(C)nc4C,5.7,Dev-set
CHEMBL1085782,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc(C(=O)N)c(C)nc4C,5,Dev-set
CHEMBL381555,C[C@@H](OC1CCC2NC1(CC2S(=O)(=O)c3ccccc3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,5.7,Dev-set
CHEMBL461571,C[C@@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c4ccc(OC(F)(F)F)cc24)c1)C(=O)O,5.49,Dev-set
CHEMBL256362,C[C@@H](Oc1cccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c12)C(=O)N(C)C,5.1,Dev-set
CHEMBL257478,C[C@@H](Oc1cccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c12)C(=O)N(C)CCO,4.92,Dev-set
CHEMBL209657,C[C@@H](O[C@H]1CCn2c(O)nnc2C[C@@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,5,Dev-set
CHEMBL2170299,C[C@@H]1CCCCN1CCCNCc2ccc(cc2)CNCCCN3CCCC[C@@H]3C,4,Dev-set
CHEMBL2170444,C[C@@H]1CCCCN1CCCNCc2ccc(cc2)CNCCCN3CCCC[C@H]3C,4,Dev-set
CHEMBL2031876,C[C@@H]1CCCN1C(=O)c2ccc(cc2)c3ccc4C(=O)N(CCN5CCCC5)CCc4c3,4.98,Dev-set
CHEMBL1934525,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CC4CCOCC4,5.51,Dev-set
CHEMBL558248,C[C@@H]1[C@H](Oc2ccccc2S1(=O)=O)c3ccc(OCCCN4CCCC4)cc3,5.89,Dev-set
CHEMBL3622203,C[C@@H](Oc1nc(cc2ncsc12)c3cnn(c3)C(F)F)[C@H]4CNC(=O)O4,4.52,Dev-set
CHEMBL538137,C[C@@H]1C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1O,4.7,Dev-set
CHEMBL2069927,C[C@@H](Oc1nnc(c2ccncc2)n1C)c3oc(nn3)c4cccc(Cl)c4,4.67,Dev-set
CHEMBL3598099,C[C@@H](OC(=O)N1CCC(CC1)O[C@@H]2CC[C@H](CC2)Oc3cnc(cn3)S(=O)(=O)C)C(F)(F)F,3,Dev-set
CHEMBL2021601,C[C@@H](Oc1ccc(cc1C(=O)N2CCN(CC2)c3ncc(cc3F)C(F)(F)F)S(=O)(=O)C)C(C)(C)C,4.55,Dev-set
CHEMBL207794,C[C@@H](OC1CCC2NC1(CC2(F)c3nnn(C)n3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,5.3,Dev-set
CHEMBL381965,C[C@@H](OC1CCC2NC1(CC2c3nnn(C)n3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,5.7,Dev-set
CHEMBL2348780,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO,4.7,Dev-set
CHEMBL509531,C[C@@H]1CC[C@@]2(OC1)O[C@H]3[C@@H](O)[C@H]4[C@@H]5CC[C@H]6C[C@@H](O[C@@H]7O[C@H](CO)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O[C@@H]9OC[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H]%10O)[C@H](O)[C@H]7O)[C@H](O)C[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]2C,4.6,Dev-set
CHEMBL2022500,C[C@@H]1CC[C@@H](C)N1CCCNc2oc(nn2)c3ccc(NC(=O)c4ccccc4F)cc3,5.1,Dev-set
CHEMBL3417071,C[C@@H]1CCC[C@H](C)N1CCNc2cn(Cc3ccc(F)cc3)nn2,6.22,Dev-set
CHEMBL1084385,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)nc5ccccn45,5.1,Dev-set
CHEMBL558655,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NCc4ccncc4,5.09,Dev-set
CHEMBL1086033,C[C@@H]1CCCN1CCc2ccc3nc(C)ccc3c2,3.67,Dev-set
CHEMBL1085325,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C(C)(C)C,5.17,Dev-set
CHEMBL1085591,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C4=NCCS4,4.6,Dev-set
CHEMBL561279,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4C(C)COCC4C,5.93,Dev-set
CHEMBL1934524,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CCCO,4.52,Dev-set
CHEMBL563118,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NC4CCC4,6.12,Dev-set
CHEMBL558923,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N,5.11,Dev-set
CHEMBL2036764,Brc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1,5.15,Dev-set
CHEMBL374400,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,4.4,Dev-set
CHEMBL229760,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,4.75,Dev-set
CHEMBL551308,Brc1ccc2[nH]c3C(CCCc3c2c1)Nc4ccccc4,4.52,Dev-set
CHEMBL552279,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)Nc4ccccc4,6.53,Dev-set
CHEMBL559118,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NC4CCOCC4,4.89,Dev-set
CHEMBL558260,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NCC4CC4,5.59,Dev-set
CHEMBL558456,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NCc4ccccc4,6.24,Dev-set
CHEMBL1934521,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CCO,5.11,Dev-set
CHEMBL1082447,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C)nc4C,4.7,Dev-set
CHEMBL1085800,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)C#N,5.49,Dev-set
CHEMBL1086514,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5C=CC(=O)C=C5,4.7,Dev-set
CHEMBL1085336,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5CCCCC5,5.55,Dev-set
CHEMBL1085398,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccccc5,5.19,Dev-set
